objID raMean decMean nDetections ng nr ni nz ny gMeanPSFMag rMeanPSFMag iMeanPSFMag zMeanPSFMag yMeanPSFMag
122891876976349722 187.69766999 12.41594714 23 5 4 6 6 2 20.039400100708008 19.10919952392578 19.08639907836914 19.16900062561035 19.35449981689453
122891876980814145 187.69808955 12.41135345 2 1 0 0 0 1 20.341100692749023 -999.0 -999.0 -999.0 17.757099151611328
122891876981263455 187.69800748 12.41087259 2 0 0 0 1 1 -999.0 -999.0 -999.0 18.250099182128906 19.11389923095703
122891876987710640 187.69874011 12.40844464 56 11 10 13 9 13 19.331199645996094 18.48390007019043 18.237199783325195 18.327499389648438 18.264699935913086
122891876996478039 187.69972845 12.41452471 2 0 0 0 2 0 -999.0 -999.0 -999.0 19.491100311279297 -999.0
122861876892751081 187.68926292 12.38382019 30 2 1 14 6 7 19.62619972229004 18.928199768066406 18.677400588989258 18.72760009765625 18.58329963684082
122861876896363280 187.68960092 12.38561556 16 2 1 9 3 1 20.301799774169922 -999.0 18.63330078125 -999.0 18.39459991455078
122861876902306299 187.69023351 12.38813365 50 9 9 14 7 11 19.385700225830078 18.35890007019043 18.380800247192383 18.308700561523438 18.280500411987305
122861876929948166 187.69304884 12.38978617 7 2 0 3 2 0 19.75779914855957 -999.0 18.55190086364746 19.22599983215332 -999.0
122861876934530629 187.69350782 12.38348628 11 2 2 5 2 0 -999.0 18.720800399780273 19.098499298095703 19.35300064086914 -999.0
122861876944428797 187.69448057 12.39022676 2 0 0 0 2 0 -999.0 -999.0 -999.0 20.11989974975586 -999.0
122861876946372059 187.69472326 12.38464777 2 0 0 0 2 0 -999.0 -999.0 -999.0 18.860599517822266 -999.0
122861876946987056 187.69442859 12.38863934 2 0 1 0 1 0 -999.0 17.185199737548828 -999.0 18.3887996673584 -999.0
122861876947177869 187.69469555 12.38944923 2 0 2 0 0 0 -999.0 18.3705997467041 -999.0 -999.0 -999.0
122861876952960254 187.69534396 12.38300575 2 0 0 0 0 2 -999.0 -999.0 -999.0 -999.0 18.66710090637207
122861876979515942 187.69789315 12.38779688 44 8 7 13 8 8 18.271299362182617 17.494800567626953 17.288400650024414 17.433799743652344 17.105899810791016
122861877044629638 187.70451598 12.39086724 2 0 0 0 2 0 -999.0 -999.0 -999.0 15.529399871826172 -999.0
122861877050678994 187.70512805 12.39043743 5 2 2 1 0 0 17.02869987487793 15.08430004119873 16.16900062561035 -999.0 -999.0
122861877056308967 187.70559948 12.39030211 2 0 0 0 0 2 -999.0 -999.0 -999.0 -999.0 14.998499870300293
122861877056688054 187.70558996 12.38960002 2 0 0 0 2 0 -999.0 -999.0 -999.0 14.406399726867676 -999.0
122861877058698594 187.70580919 12.39013311 2 0 0 0 0 2 -999.0 -999.0 -999.0 -999.0 14.730500221252441
122861877059169881 187.70591961 12.39112604 54 10 10 14 8 12 10.295000076293945 10.732000350952148 11.076000213623047 11.342000007629395 11.557000160217285
122861877064767617 187.70646616 12.38914179 2 0 2 0 0 0 -999.0 15.11970043182373 -999.0 -999.0 -999.0
122861877070368181 187.70700504 12.38964881 2 0 2 0 0 0 -999.0 15.226099967956543 -999.0 -999.0 -999.0
122861877090664549 187.70906689 12.38671491 2 0 0 0 0 2 -999.0 -999.0 -999.0 -999.0 -999.0
122861877111116495 187.71111183 12.38833651 2 1 1 0 0 0 -999.0 -999.0 -999.0 -999.0 -999.0
122861877112026930 187.71120247 12.38869951 2 0 1 1 0 0 -999.0 -999.0 -999.0 -999.0 -999.0
122861877184282370 187.7182975 12.38498455 2 0 0 2 0 0 -999.0 -999.0 18.14349937438965 -999.0 -999.0
122871877339735711 187.73378998 12.39577561 2 0 0 0 0 2 -999.0 -999.0 -999.0 -999.0 19.68869972229004
122871877342110722 187.73413832 12.39181453 49 9 10 10 9 11 20.189300537109375 19.817399978637695 19.359699249267578 19.217599868774414 19.284000396728516
122881876902416788 187.69021292 12.40526528 49 8 11 13 9 8 20.3031005859375 18.972400665283203 19.014999389648438 19.0762996673584 18.49530029296875
122881876797581241 187.67975507 12.40076414 2 0 0 2 0 0 -999.0 -999.0 20.99810028076172 -999.0 -999.0
122881876810114433 187.68095111 12.40322508 39 10 11 13 4 1 20.712900161743164 19.84760093688965 20.086999893188477 19.890199661254883 19.41320037841797
122881876813060674 187.68122862 12.40021698 13 0 3 8 2 0 -999.0 19.902999877929688 20.25909996032715 20.066699981689453 -999.0
122891877000101253 187.69998082 12.40890653 41 5 8 11 7 10 19.847700119018555 19.405000686645508 18.372499465942383 21.25 18.47879981994629
122891877002409459 187.70023942 12.41575395 3 0 0 1 2 0 -999.0 -999.0 -999.0 19.46269989013672 -999.0
122891877013789107 187.70149748 12.41557812 2 0 1 0 1 0 -999.0 20.173799514770508 -999.0 19.365400314331055 -999.0
122891877015033227 187.70149298 12.41059735 22 1 4 7 7 3 19.96929931640625 18.77680015563965 18.526599884033203 22.682100296020508 18.779399871826172
